"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,399950,399000,404450,399950,4e+05,399900,399430,399900,399000,389950,389900,370310,365000,365000,369000,365000,370000,379000,375000,370000,359900,351450,349900,345000,343000,344950,349900,353810.5,361051,385000,380000,385990,389900,389000,397000,399000,399900,399500,435000,469000,499000,516000,525000,505000,519000,510000,499999,499500,499500,505000,5e+05,529000,539000,549000,549999,549000,549000,549000,549000,525000,509900,529000,549000,568324.5,575000,599000,598425.5,599000,599000,599950,599500,599999,609750,630000,648000,650000,659000,679000,674900,674900,675000,678750,679000,669900,679725,680000,698775,699000,699250,701624,7e+05,699000,695000,698000,699000,699000,699000,728888,729000,749000,746000,749900,749800,749900,759000,768750,775000,765000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309900,309000,299900,309000,299995,299000,305000,299000,299900,298000,288995,289000,284500,279900,289000,279900,287500,289000,289000,279900,275000,289000,286000,289000,289000,289900,295000,3e+05,299999,299900,299000,290000,289900,294500,294000,294999,290000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",3,129900,129997,130000,132000,132130,135000,133000,132500,135000,137500,137000,136000,137900,137197.5,137000,135000,137450,138695,136133,134900,130000,129997,129995,129900,129000,129995,130000,131000,134397,135000,134900,135000,135000,135000,136995,137774,139000,140000,142900,144900,146825,149900,149990,150000,154900,155000,155000,156300,158995,159900,163500,164500,164900,165000,164900,166370,164490,164850,163995,164900,168000,170497.5,178947.5,185000,185495,188990,192990,192490,193000,192500,191500,193997.5,191990,186814,189000,188990,185268,189900,189900,187700,185411.5,189000,190000,189000,189000,190000,190000,196995,199500,2e+05,2e+05,199500,198990,194500,194499,195000,196500,198500,198000,199900,201995,204999,204599,203000,204000,204000,207499,212500
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",4,104900,108900,114900,114800,110000,114900,114900,115000,119000,115000,115000,114000,110000,110000,115000,115000,115000,115000,114900,114500,110000,109900,109899.5,105000,107700,109900,113900,114775,114085.5,114900,114900,110000,109900,108000,103950,99900,99900,99900,109900,110000,114500,114900,109900,109900,109900,110000,109900,105900,104900,104999,112999.5,118000,118694,119000,115000,114900,114925,114900,113900,109900,107900,109990,114900,119994.5,124900,124900,120000,119900,119000,118900,119000,113000,109950,110000,115000,120000,124900,125000,122500,119999,124900,124900,120000,119000,119999.5,124000,129000,130907,139000,139000,139900,135000,139900,145000,142700,139900,135100,139900,145000,154900,160000,165000,167910.5,165000,165000,164900,163750,160000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204995,195760,196495,215012,205475,201400,204990,207557,199945,209990,204945,214000,204990,211725,198850,209939.5,225990,229490,242827,243990,235950,253000,246990,263990,264900,274900,274900,274900,268625,297240,292990,298990,295990,277460,275000,304990,303240,280245,289950,275950,266979,289900,298999,305990,3e+05,295856.5,3e+05,324949.5,326990,329950,334252,333898.5,345472,335559,3e+05,317995,314250,297245,309707.5,328990,291490,290950,299450,308990
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,134900,135000,134994.5,134900,134900,130000,129900,129900,129000,125000,125000,119999,119900,119000,116900,115000,114900,114600,113000,113500,110500,110000,110000,109900,109900,110000,112000,114200,117700,120000,119000,119900,119992.5,122000,124900,129000,130000,133100,137500,139999,145000,149900,150000,160000,165000,165900,165990,165500,169000,169000,170000,172900,175000,176450,179900,182000,188000,185000,185000,187000,185000,186990,190000,195000,199900,198625.5,199900,199900,2e+05,203999,203999.5,203995,202700,204000,209000,210000,214999,219000,219000,220000,220000,224900,224888,224524.5,225000,229000,232000,239000,240000,245000,249900,249900,250000,254900,256000,259900,260000,264900,265000,269900,272000,275000,279900,285000,285000,285000,285000,285000
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,459900,474000,469000,475000,479000,475000,469900,475000,469900,449949.5,449000,435000,428000,419900,419900,424500,425000,429000,425000,409700,395000,389000,384900,385000,384000,379000,379900,395000,409000,419000,419000,419050,419000,424900,419000,419950,425000,450000,479000,480000,498950,490000,499888,5e+05,499900,495000,499000,497500,499900,519000,517000,529900,530000,549000,549000,542450,539000,530766.5,544900,524900,535000,549000,580000,599000,599000,575000,598900,589894,595000,589000,599000,609000,619000,613900,609000,615000,625000,629000,625000,625000,625000,629000,624999.5,625000,625000,625000,630000,649000,649000,649000,650000,649900,649000,649000,639900,639000,645000,649900,659900,685000,749900,729000,715000,699999,695000,689450,691500,699500
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,165499.5,170000,178950,185000,189512.5,194464,198900,192250,192990,190000,189000,174450,159900,165000,170000,174900,180000,183445,180000,175000,169900,169900,169900,164900,159900,168900,169900,175000,187950,190000,189900,176782.5,176950,179900,183990,179900,179000,189900,209000,210000,209650,209000,207000,208000,199900,194900,190000,189250,190000,193450,205000,225000,235000,222500,225000,239900,215000,224950,215000,199000,210000,224950,240000,245000,259950,245000,247750,251250,265000,265000,260000,258450,260000,270000,293000,289900,289900,299900,315000,309950,309999,309450,312500,289900,299900,325000,329900,349000,360000,350000,349900,343700,349250,349500,349000,339950,331900,350000,349980,365000,366500,365000,365000,359000,360000,355000,355000,349900
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",9,469950,479950,485000,499000,499000,499000,499500,499500,489000,475000,459894,449900,433000,448944,449900,460000,485000,489950,485000,470000,474888,459000,448000,430000,435450,449000,440000,452900,451450,479000,499694,510000,508000,499950,515000,532500,539950,574950,598888,608500,629000,629974.5,619444,610000,601875,599999,603000,599999,599999,629475,646500,656000,675000,669888,660000,659000,649950,649000,648950,635000,649894,670000,692499,699000,699950,724900,730000,729000,729000,729000,728500,715000,729380,749000,788000,798000,799000,795000,789000,794880,795000,783939,775000,765990,769000,780190,799999,822880,820000,825000,825000,810495,868000,882450,890000,875000,899000,949919,988000,990888,998888,998000,998000,989950,997000,988000,955000,950000
"Austin","TX","Austin-Round Rock","Travis County",10,219900,219900,215000,215000,218750,218750,212145,208257.5,214995,216245,217062.5,214625,212990,214900,219900,225000,219900,214000,216495,215000,209728,209000,204900,208444,207600,209695,214000,213000,214999,212900,209992.5,210583,201049,2e+05,207700,213000,215422,224160,227602,231990,239253,250000,257990,245995,254710,258700,267545,271990,276938,294400,296990,307400,309990,310000,314750,315000,303806.5,299000,293570,301225,316199,315970,315500,319990,328000,339000,335794,330000,333990,335000,331000,332990,332990,341798,339000,334795,335000,342399,339995,349945,359000,363000,370945,353707,344945,358888,360717.5,367610,383600,385494,390000,384900,370597.5,379995,366785,375000,360000,359450,358500,354900,355900,365000,369611.5,359900,357157,360000,360000,353990
