"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,2250,2350,2262.5,2350,2500,2550,2499.5,2449,2200,2200,2400,2500,2500,2345,2300,2400,2300,2350,2425,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2605,2650,2697,2700,2635,2650,2700,2700,2650,2602,2600,2600,2600,2600,2650,2635,2300,2250,2279,2250,2250,2200,2200,2250,2295,2350,2350,2300,2225,2300,2300,2250,2200,2200,2200,2200,2200,2275,2300,2350,2325,2325,2399,2495,2400,2200,2250,2300,2300,2350,2350,2390,2383,2400,2400,2350,2300,2295,2295,2300,2300,2395,2400,2400,2399,2400,2399,2300,2300,2295
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,1275,1285,1355,1300,1344,1350,1359.5,1350,1375,1350,1300,1290,1250,1250,1200,1275,1350,1399,1395,1420,1400,1395,1395,1450,1515,1525,1440,1450,1575,1588,1550,1550,1550,1475,1450,1495,1500,1362.5,1521,1495,1480,1450,1495,1580,1595,1650,1695,1700,1750,1725.5,1769,1755,1795,1795,1750,1795,1800,1800,1800,1840,1847,1850,1841,1990,1996.5,2020,2020,2011,1995,1963,1945,1995,1925,1939,1850,1963,2004,2097,2068,2075.5,2099,2150,2100,2110,2110,2095,2095,2070,2100,2100,1995,2115,2225,2270,2332,2335,2360,2350,2350
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,1355,1355,1395,1225,1273,1250,1280,1299,1375,1345,1300,1325,1328,1345,1380,1395,1340,1275,1250,1325,1395,1400,1400,1465,1500,1477,1500,1500,1600,1500,1550,1584,1600,1588,1594,1569,1545,1588,1643,1620,1545,1509,1495,1495,1540,1637,1522,1674,1700,1650,1495,1600,1658,1506,1502,1517,1500,1475,1490,1646,1725,1805,1724,1680,1738,1595,1547,1532.5,1500,1485,1494.5,1495,1495,1550,1550,1525,1500,1495,1495,1495,1495,1495,1510,1595,1610,1632,1595,1595,1595,1595,1595,1595,1595,1600,1600,1595,1595,1625,1634.5
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1224,1122.5,1073,1105,1210,1214,1235,1200,1229,1245,1185,1199,1190,1200,1200,1225,1230,1225,1229,1225,1240,1246.5,1359,1355,1375,1295,1325,1300,1295,1282,1239,1195,1230,1169,1110,1150,1200,1230,1241,1250,1250,1220.5,1211,1230,1240,1250,1270,1281,1281,1308,1315,1315,1300,1300,1294,1294,1277,1270,1277,1265
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,652.5,595,595,595,595,600,639.5,647,650,639,670,675,686,715,735,695,685,680,679,730,725,708,715,695,711,714,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,797,786,788,780,775,780,789,785,790.5,779,770,775,775,783,795,795,800,850,850,825,820,849,825,800,820,804.5,820,834,790,806,780,810,835,840,850,909,900,886,885,899,900,893,900,899,955,937.5,928,947,961,950,965,950,945,959,945
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,1210,1250,1291,1291.5,1280,1250,1250,1197.5,1170,1100,1025,1050,995,995,987.5,975,1100,1155,1248.5,1200,1240,1200,1187,1108.5,1150,1118,1085,1050,1200,1150,1150,1222.5,1102.5,1150,1100,1215,1200,1250,1250,1050,1075,1050,1100,1297.5,1295,1250,1250,1195,1197,1150,1120,1100,1120,1200,1295,1250,1250,1195,1220,1190,1175,1250,1200,1225,1200,1275,1300,1350,1299,1299,1300,1275,1325,1295,1342.5,1295,1350,1372.5,1395,1425,1395,1395,1400,1395,1350,1365,1366.5,1361,1361,1475,1490,1495,1475,1495,1490,1500,1515,1570,1550
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,580,585,571,550,619.5,629,648,650,595,597,599,625,647,625,620,595,595,640,665,650,650,665,675,690,700,701,695,680,670,669,670,666,665,657,661,655,660,650,644,650,700,699,690,700,677,695,680,700,699,700,685,700,700,723,749,741,744.5,750,750,755,775,780,825,892,875,865,899,856,850,950,850,870,875,860,831,825,909,975,1145,1175,1095,1085,995,970,969,950,948.5,940.5,942,960,974,990.5,980,994,1000.5,1020,1015,1045,1040,1027.5
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,630,625,624.5,650,650,650,750,850,795,700,700,700,650,625,649.5,615,635,646,602.5,599.5,630,625,625,645,650,650,625,625,628,650,650,685,700,700,675,652.5,650,671,700,689,675,675,695,700,699.5,725,725,750,750,760,790,775,799,795.5,782.5,789,800,815,815,795,784,820,879,860,847,879,856,850,880,825,871.5,850,845,845,857,850,915,920,938,905,905,920,935,895,885,875,850,850,900,935,950,959.5,985,1010,1026,1006,1025,1000,1001.5
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,1350,1297.5,1300,1250,1250,1350,1400,1475,1450,1300,1300,1350,1322.5,1364,1295,1295,1335,1300,1300,1350,1330,1343.5,1350,1345,1350,1355,1350,1345,1339,1300,1350,1375,1325,1250,1397,1450,1395,1380,1450,1623,1600,1595,1650,1615,1650,1679,1647,1690,1710,1650,1695,1695,1705,1735,1785,1795,1772.5,1749,1755,1750,1750,1762.5,1752,1700,1695,1850,1725,1810,1695,1713,1657.5,1750,1790.5,1802.5,1840,1875,1854,1892,1850,1870,1860,1825,1799.5,1828.5,1875,1870,2004,2040,2065,2036.5,2020,1997,2000,2040,2029
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,1012,995,971,995,973,880,890,834,790,899,870,865,945,875,990,1016.5,976,970,1049,1025,1050,1085,1150,1060,1083,1083,1027,1097,1100,1052,1095,1112,1150,1159,1180,1144,1136,1164,1150,1177.5,1147,1115,1120,1150,1199,1199,1160,1125,1118,1155,1149,1165,1198.5,1200,1230,1200,1195,1195,1205,1255,1275.5,1252,1249,1269,1270,1240,1310,1275,1250,1210,1300,1295,1309.5,1306,1310,1319,1325,1350,1330,1310,1348,1325,1325,1374,1345,1334,1350,1364,1370,1370,1355,1374.5,1358.5,1345
