"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,2600,2639,2678,2450,2400,2450,2495,2550,2550,2500,2500,2372.5,2450,2595,2640,2500,2500,2500,2550,2595,2595,2625,2700,2700,2800,2850,2750,2725,2695,2695,2730,2800,2807.5,2700,2700,2895,2800,2800,2850,2900,2900,2900,2875,2800,2750,3200,3095,3100,3088,3100,3100,3100,3100,3100,3195,3045,2995,2997.5,3050,3100,3050,3069,3000,3050,3088,3100,3000,3100,3050,3000,3025,3100,3050,3000,2950,3000,3000,3016,3000,2975,2900,2900,3032.5,3032.5,3000,2930,3025,3025,3025,3000,2968,2995,3000,2945,2900,2927.5,2975,3000,3150
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,1075,1095,1095,1080,1110,1125,1125,1095,1095,1100,1105,1125,1125,1100,1100,1125,1125,1145,1125,1095,1105,1150,1150,1175,1195,1200,1197,1200,1220,1230,1250,1275,1250,1245,1245,1247.5,1245,1250,1250,1250,1270,1265,1275,1275,1250,1250,1250,1250,1265,1295,1295,1300,1305,1325,1305,1295,1295,1295,1300,1325,1325,1345,1395,1395,1395,1400,1395,1375,1345,1350,1295,1295,1350,1440,1450,1450,1450,1468.5,1450,1420,1399.5,1375,1360,1387,1397,1440,1425,1445,1450,1450,1450,1400,1370,1355,1350,1395
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,3072.5,3050,3000,2770,2835,2930,3000,3000,2890,2900,2900,2970,3000,3100,3147,3090,3050,3000,3000,3100,3000,3000,3000,3100,3110,3100,3035,3000,3000,3150,3047,3042,3100,3110,3150,3200,3200,3100,3195,3200,3200,3200,3199,3200,3175,3295,3350,3300,3300,3350,3300,3300,3300,3350,3370,3300,3300,3350,3350,3350,3300,3300,3300,3300,3300,3318,3300,3300,3300,3100,3300,3300,3300,3300,3300,3200,3295,3295,3300,3300,3300,3300,3300,3295,3295,3300,3300,3295,3295,3221,3295,3300,3300,3300,3300,3300,3300,3299,3300
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,1058,1010,1010,1010,1055,1078,1022,1078,1088,1080,1055,1052,1050,1034,1000,1000,980,1032.5,1004.5,1019.5,1005,985,1021,1020,1020,1020,1063.5,1000,1000,985,1029,1039,1205,1057,1095.5,1104,1127,1225,1175,1085,1051.5,1081,1060.5,1119,1139,1097.5,1119,1175,1165,1124,1190,1202.5,1179,1175,1179,1175,1190,1205,1200,1178,1209,1209,1177,1239,1213,1144
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,1250,1200,1199,1175,1195,1247.5,1265,1265,1295,1300,1300,1375,1375,1365,1365,1350,1312.5,1400,1432.5,1482.5,1490,1495,1530,1547.5,1500,1495,1450,1450,1500,1500,1450,1445,1460,1450,1450,1550,1525,1495,1450,1425,1425,1425,1395,1395,1460,1500,1645,1500,1525,1475,1400,1475,1475,1450,1425,1430,1445,1425,1557.5,1550,1525,1665.5,1550,1525,1460,1475,1455,1525,1500,1450,1495,1500,1575,1550,1545,1495,1500,1505,1545,1550,1595,1595,1500,1545,1575,1615,1600,1600,1600,1595,1585,1600,1554.5,1550,1525,1600
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,957.5,960.5,967.5,970,996,974,976,976,970,965,891,948.5,910,911.5,889,931,891.5,992.5,967.5,965,919,919,965,910,972.5,972,974,1055,1055,1025,1015,1000.5,970
"10002","New York","NY","New York-Newark-Jersey City","New York County",7,,,,,,1925,2100,2200,2100,2100,2100,2130,2200,2250,2200,2219.5,2295,2275,2300,2295,2350,2350,2295,2275,2350,2300,2300,2300,2350,2350,2350,2395,2395,2400,2450,2400,2398.5,2400,2400,2400,2400,2400,2450,2495,2499,2499.5,2595,2577.5,2550,2532,2500,2600,2562.5,2595,2595,2500,2512.5,2650,2650,2650,2695,2612.5,2650,2650,2695,2650,2650,2650,2550,2595,2595,2600,2650,2550,2587.5,2500,2500,2650,2595,2600,2650,2600,2600,2595,2575,2500,2500,2500,2500,2500,2537.5,2597,2550,2600,2650,2675,2695,2600,2600,2695
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",8,,,,,,,,,,1100,1100,1062.5,1000,1000,1000,1000,1000,1000,1000,1000,1050,1050,1100,1100,1100,1050,1020,1050,1050,1100,1100,1150,1100,1100,1100,1150,1150,1150,1150,1150,1150,1112.5,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1207.5,1225,1250,1250,1250,1250,1300,1300,1300,1300,1350,1350,1350,1350,1350,1350,1350,1345,1350,1350,1395,1350,1350,1350,1400,1400,1400,1400,1400,1400,1400,1450,1425,1450,1400,1400,1450,1475,1495,1450,1425,1450,1450,1450,1500,1500,1450,1450
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",9,,,,,875,855,890,895,895,895,885,895,875,877,885,895,915,945,950,945,965,950,950,995,1020,1022.5,1030,1050,1035,1025,1025,1050,1050,1065,1095,1100,1095,1050,1050,1050,1085,1050,1050,1050,1100,1100,1100,1100,1095,1095,1095,1095,1137.5,1150,1075,1150,1125,1125,1150,1162.5,1165,1150,1150,1145,1170,1190,1175,1175,1187.5,1195,1195,1175,1200,1162.5,1140,1150,1160,1225,1225,1250,1225,1225,1200,1200,1195,1200,1195,1245,1245,1250,1260,1275,1268.5,1264.5,1300,1275,1262,1246,1250,1295
"11226","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,1250,1250,1250,1250,1250,1275,1275,1275,1250,1250,1250,1237.5,1275,1295,1295,1300,1300,1300,1325,1300,1325,1325,1350,1350,1375,1375,1400,1450,1400,1400,1450,1450,1450,1450,1450,1485,1500,1500,1500,1525,1500,1500,1500,1500,1500,1535,1575,1650,1600,1600,1625,1625,1650,1650,1600,1600,1600,1649,1600,1600,1650,1750,1699,1795,1826,1750,1637,1650,1612.5,1675,1700,1700,1700,1700,1650,1650,1695,1685,1650,1700,1750,1750,1775,1750,1750,1775,1792.5,1750,1750,1750,1750
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",11,,,,,,,,,,,,,2472.5,2397.5,2380,2045,2150,2195,2195,2162.5,2472.5,2485,2250,2322.5,2300,2395,2495,2415,2495,2600,2622,2559,2587.5,2800,2825,2800,2795,2800,3200,3150,3125,2895,2800,2875,3195,3072.5,2987.5,3097.5,3125,3200,3200,3277.5,3200,3200,3350,3400,3450,3450,3375,3412.5,3300,3282,3172.5,3250,3200,3395,3325,3172.5,3200,3200,3050,2915,2995,2895,3000,2980,3100,3100,3000,2950,2900,2995,2997.5,3047.5,3195,3095,2995,2995,2995,3095,3150,3295,3200,3095,3145,3295,3221.5,3150,3200,3250
"10016","New York","NY","New York-Newark-Jersey City","New York County",12,3100,3050,3200,2997.5,2750,2625,2750,2750,2800,2800,2850,2895,2900,2895,2900,2850,2870,2900,2895,2950,2995,3000,3050,3050,3095,3095,3100,3050,3000,3000,3050,3044,3042,3045,3100,3100,3150,3100,3100,3100,3100,3100,3100,3100,3150,3150,3495,3485,3400,3395,3395,3400,3395,3417.5,3445,3450,3420,3450,3450,3450,3450,3400,3395,3350,3325,3395,3418,3400,3402.5,3405,3353,3395,3391,3399,3324,3350,3314,3350,3400,3400,3400,3395,3400,3445,3425,3400,3318,3314,3346,3398,3435,3425,3500,3500,3495,3500,3452,3495,3480,3480
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,799,841,844,844,861,869,880,855,875,889.5,865,880,863,871
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",14,,,,,,,,,,,,,,,,,,,,,,,,,829.5,823,823,823,800,800,825,805,820,825,855,865,860,865,855,838.5,850,845,855,877,835,838,850,858,838,850,863,862,855,910,923,920,935,935,932.5,920,949,975,985,977.5,975,975,949,972,960,985,928,949,980,931,925,925,925,973,1028.5,1033,1040.5,1030,1020,1038,1020,1022.5,1025,1075,1010,1035,1097,1090.5,1060,1060,1025,1055,1075,1090,1075,1077
"11375","New York","NY","New York-Newark-Jersey City","Queens County",15,,,,,1500,1450,1450,1462.5,1575,1580,1500,1500,1550,1550,1500,1550,1625,1550,1550,1550,1600,1625,1612.5,1600,1600,1600,1600,1650,1650,1625,1625,1625,1650,1650,1725,1795,1795,1700,1690,1695,1700,1725,1725,1725,1750,1750,1800,1775,1799,1800,1795,1795,1800,1800,1850,1850,1895,1875,1885,1875,1885,1825,1825,1850,1870,1875,1850,1900,1950,1875,1900,1900,1900,1900,1900,1850,1875,1850,1885,1885,1875,1875,1875,1850,1895,1875,1850,1825,1850,1875,1862.5,1850,1850,1875,1850,1875,1850,1850,1875,1851
"11235","New York","NY","New York-Newark-Jersey City","Kings County",16,,,,,,,,,,1300,1300,1300,1300,1300,1300,1297.5,1250,1275,1300,1300,1312.5,1325,1329,1340,1375,1375,1375,1375,1375,1375,1397.5,1375,1375,1400,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1475,1475,1450,1475,1500,1500,1500,1495,1500,1525,1600,1600,1550,1575,1600,1642.5,1600,1625,1600,1600,1600,1625,1650,1650,1695,1695,1685,1750,1675,1695,1675,1675,1675,1700,1675,1800,1850,1850,1850,1799,1775,1725,1720,1707.5,1744,1770,1750,1750,1800,1800,1850,1725,1725,1750,1797.5
"60647","Chicago","IL","Chicago-Naperville-Elgin","Cook County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,995,1095,1195,1195,1100,1195,1195,1195,1162.5,1195,1100,1150,1150,1185,1195,1195,1195,1250,1195,1195,1100,1095,1075,1150,1250,1095,1275,1295,1250,1250,1250,1200,1175,1195,1195,1250,1295,1295,1350,1300,1295,1295,1250,1250,1195,1195,1255,1295,1297.5,1325,1350,1400,1395,1397.5,1395,1395,1395,1400,1450,1400,1350,1475,1495,1495,1495,1450,1450,1392.5,1362.5,1450,1550
"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1125,1195,1212.5,1200,1225,1275,1250,1295,1300,1300,1300,1300,1300,1300,1325,1295,1325,1325,1325,1350,1350,1385,1395,1395,1395,1395,1400,1395,1395
"37211","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,1152.5,1055,1012.5,1055,1101,1121,1045,1104.5,1141,1089,1002,1000,1015,1060,1074,1067.5,1065.5,1035,999,999,987.5,999,999
"10029","New York","NY","New York-Newark-Jersey City","New York County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2600,2500,2600,2496.5,2475,2500,2397,2495,2500,2485,2500,2500,2495,2400,2500,2500,2495,2495,2360,2440,2432.5
"10009","New York","NY","New York-Newark-Jersey City","New York County",21,,,,,2247.5,2450,2200,2200,2395,2300,2395,2450,2497.5,2550,2550,2592,2595,2600,2662.5,2675,2700,2750,2695,2750,2795,2800,2795,2695,2700,2595,2695,2750,2795,2750,2690,2695,2700,2695,2695,2650,2650,2789,2750,2750,2800,2795,3155,2999,2895,2850,2872.5,2895,2895,2895,2895,2700,2695,2795,2795,2800,2950,2895,2850,2824,2855,2895,2870,2900,2950,3000,2995,2895,2850,2795,2800,2800,2725,2850,2800,2850,2850,2825,2797.5,2800,2800,2772.5,2695,2699,2795,2775,2795,2800,2850,2800,2800,2700,2795,2782.5,2695,2770
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",22,,,,,,,,895,895,850,875,875,875,875,832.5,797.5,875,895,910,900,957.5,875,875,910,900,850,895,900,925,925,925,995,960,925,950,975,995,985,1000,950,975,1000,1000,1050,1050,1005,1025,1025,1095,1095,1050,1050,1050,1050,1000,1050,1050,1075,1100,1200,1150,1147.5,1150,1150,1112.5,1172.5,1150,1099.5,1160,1197.5,1150,1195,1150,1100,1050,1100,1150,1150,1200,1200,1150,1200,1250,1200,1195,1185,1175,1200,1200,1200,1250,1250,1295,1275,1250,1250,1250,1195,1195,1197.5
"10011","New York","NY","New York-Newark-Jersey City","New York County",23,,,,2895,2850,2800,3000,3050,3200,3100,3000,3100,3025,3100,3300,3300,3395,3300,3300,3400,3400,3300,3375,3395,3350,3300,3400,3400,3400,3300,3300,3398.5,3395,3400,3500,3500,3500,3500,3400,3440,3400,3400,3445,3450,3500,3500,3595,3600,3750,3664.5,3600,3750,3800,3795.5,3795,3800,3695,3600,3600,3795,3750,3795,3646,3600,3650,3695,3650,3600,3649.5,3795,3597,3678.5,3600,3633.5,3650,3595,3595,3795,3794,3800,3840.5,3759,3675,3700,3700,3750,3795,3700,3800,3800,3900,3875,3795,3700,3700,3882,3900,3895,3895,3885
"77573","League City","TX","Houston-The Woodlands-Sugar Land","Galveston County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,948,909,1029,1069.5,1069.5,1044,1055,1020,1080,1070,995,1005,1007,960,1025,1075,1098.5,1093,1077,990,1014,997.5
"77584","Pearland","TX","Houston-The Woodlands-Sugar Land","Brazoria County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,1047.5,1077,1038,1020,1084,1090,1116,1149,1147.5,1109,1135,1126,1104.5,1125,1123.5,1123,1115,1106.5,1100,1100
