"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785000,795293.5,775500,750000,795000,8e+05,837000,825000,809000,899000,925000,929000,988000,999000,990726,978000,995000,1007500,1049000,996500,995000,1100000,1125000,1100000,1125000,1109944,1100000,1068450,1125000,1150000,1155500,1157970
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,339000,320000,344900,349000,349000,339000,339000,339900,340000,330000,329000,319000,315000,319945,315000,310000,324900,327000,325000,325000,319000,304900,306650,299000,299000,295000,299000,299900,305000,325000,325261.5,334900,339000,325000,333000,335000,349000,350000,379000,399000,399900,409000,425000,425000,429999,434400,429000,419000,422000,439000,449000,460000,469964,475000,479000,470000,469000,469000,465000,450000,439500,455000,475000,489949.5,499900,499989,510000,505000,518000,519000,515000,522450,515000,529000,524000,530000,537500,549000,550000,550000,549949.5,569000,559000,559000,579000,579999.5,585000,599000,599357.5,6e+05,599900,599000,599000,615000,619000,599888,605000,642500,640000,649250,649900,658000,659000,659700,665000,679000,679000,679000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,225000,229900,234999,246000,245000,249000,247750,249900,249900,239900,244950,244900,235000,224900,229000,235000,240000,245000,249000,235000,237000,238000,234900,235000,244900,240000,244950,245000,250000,249900,250000,249900,239900,237500,239500,247700,235000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,88100,88200,88200,89000,89900,90000,91999,90000,89900,89900,90000,89900,89900,89925,89900,89500,89000,89000,89750,89900,89000,89000,89500,86500,87000,88000,87700,87900,87500,89900,89900,89750,89000,85000,85000,85000,85000,87500,89500,90000,95000,96900,95000,92750,93000,95000,95900,99000,99500,99500,104000,105000,107900,105000,105000,105000,103500,99000,99500,102500,101000,111950,109000,106000,105700,109750,119000,109900,124850,118500,114937.5,119000,119900,123700,119900,129000,134900,135000,134900,132000,127000,130000,134900,140000,142900,149900,142500,142500,147000,149950,149900,144500,146000,140000,141000,140000,140000,140000,139999,140000,142000,149000,149000,145000,149000,149900,149900,154500
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,199900,219900,229900,225000,220000,219950,229000,2e+05,210000,204499,203450,209700,199900,199999.5,199900,184900,199900,199850,194625,194500,184900,184900,189900,184950,195000,188000,198000,199000,199900,191450,189000,189000,187400,189900,194950,184900,189900,189900,199900,206250,213500,209900,189900,186875,189900,194950,199000,199000,190000,199999,220000,232000,230000,225000,209900,201750,209900,219000,219900,219900,199900,214950,230000,237500,239900,234950,230000,229900,234900,239900,239900,239000,234900,235000,245000,245000,249999,257750,255000,249900,249000,259900,250000,250000,259900,258500,288250,299900,299900,295000,299000,289900,305450,314000,319000,299900,299900,310000,315000,309900,315000,310000,3e+05,299900,299900,3e+05,3e+05,299900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,104900,105000,110000,110000,112000,112995,105000,114900,116950,117500,115000,115000,119900,119999,120000,124900,125950,125000,124700,124994.5,125000,125000,128500,129900,130000,137500,139250,139970,139900,140000,143900,145000,150000,155000,155000,150000,155000,159900,168000,170000,175000,179000,180000,185000,189000,190000,197000,199900,198450,199900,195250,194850,195000,199999,204900,204900,199900,199000,198900,199500
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,335000,339450,339000,339900,349000,340000,340000,340000,330000,325000,320000,310000,3e+05,298336,295000,299900,295000,296000,299000,289900,277550,274900,275000,278450,280000,279000,285000,279900,290000,299000,3e+05,309000,299900,3e+05,3e+05,310000,325000,339000,345750,349990,359000,360000,375000,375000,379000,379000,370000,379000,389000,399000,399900,399000,379900,394900,405000,405000,4e+05,399000,410000,399900,399000,399900,415000,429000,434900,410000,440000,429900,430000,435000,435500,448000,449000,449000,449000,459000,459000,465000,460000,460000,459000,462500,460000,459900,475000,469900,469000,472000,492043,499900,499694,499000,499000,499949.5,499999,499500,518500,525000,529000,529000,565000,569000,569900,559950,569000,552000,559000,559000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,179900,179900,185000,179900,179000,179900,175000,169900,174900,168900,167500,159999.5,154000,159000,159000,164900,169000,165000,165000,159900,155375,158500,159350,164900,154900,155000,159900,161450,165950,162500,150000,155500,159000,159950,159950,159950,160000,169000,175000,179900,179700,178000,179700,180000,192750,195000,199500,186500,175000,189950,195000,195000,205500,188250,174900,185000,174900,177990,179000,179000,192500,198500,206500,225000,225000,220000,215000,211000,225000,232000,239000,239900,230000,230000,250000,275000,289900,299500,296500,292047.5,299900,295547.5,285000,289500,309900,319350,319500,329000,339000,342500,334999.5,329000,324948.5,325000,325000,319900,325000,339500,340000,339000,339000,325000,315000,299000,309500,315500,325000,325000
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",9,303850,3e+05,309949.5,299900,299000,299000,299000,299000,290000,279888,275000,279000,275000,274449.5,270000,272500,279000,288894,289500,288800,279000,275000,269949.5,269888,269000,274900,275000,279900,299000,299000,299000,299000,298500,315700,332450,335000,349000,375000,378888,385000,399000,399000,399000,399000,4e+05,412250,426500,429000,436500,435000,449000,460000,460000,464000,459000,459000,475444,475000,459500,452500,450000,475000,489500,499000,499900,499950,499956,525000,549000,549000,549888,549000,549975,569975,578000,596944,605000,599000,598000,598000,598888,599000,599000,589000,589000,608888,608884,624944,635000,619000,635000,649000,638000,639888,655884,651415,660440,722450,719000,738000,699944,739000,750000,749000,710000,699950,699444,699999.5
"Austin","TX","Austin-Round Rock","Travis County",10,195483.5,197000,199000,199000,199900,199900,209000,209000,199900,194950,199900,206975,199900,199600,199500,199900,204950,197499.5,195000,195999.5,194500,199900,197950,195000,193950,199950,205900,210000,209000,2e+05,199900,197945,209950,209950,220948,227750,252250,225250,220598,224000,249990,249990,254990,249990,249990,260990,267990,262990,275545.5,279900,281990,284990,291990,286990,289990,294990,294990,294990,285000,269000,280125,290484,297350,3e+05,299990,299990,299000,302990,309900,329950,330000,333990,334990,329950,338595,332000,320000,339000,346250,349949.5,364949.5,350000,359000,350000,359000,360000,369790,366055,359900,349900,368500,350000,362495,360000,364990,369450,374990,384990,374999,367400,365000,367737.5,363000,364900,369000,375000,374900,374949.5
