"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,1277000,1237000,1375000,1297000,1249900,1249900,1149000,1175000,1175000,1177000,1177000,1095000,999974.5,1099000,1090000,1080000,1100000,1118750,1152500,1099000,1075000,1019000,999000,995000,978000,995000,1058455,1070000,1099000,1200000,1199000,1250000,1222000,1200000,1192450,1144642.5,1200000,1195000,1299000,1437000,1400000,1495000,1499000,1495000,1549000,1537000,1595000,1599000,1499000,1495000,1498000,1496500,1512500,1595000,1569950,1499000,1499000,1595000,1649000,1599000,1495000,1639000,1699500,1795000,1899000,1799000,1699000,1749500,1740000,1730000,1795000,1849500,1995000,1999000,1979000,2049500,2074000,2150000,2089000,2095000,2149995,2295000,2200000,2111500,2195500,2300000,2249000,2288000,2299499.5,2200000,2099475,1999000,1999000,2199000,2200000,2299499.5,2297000,2199000,2157475,2149000,2159000,2190000,2138220,1999950,1999000,1999000,2157500,2050000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814997.5,819995,849000,849999.5,775000,749000,749000,729000,734500,774995,799900,849947.5,849900,861947.5,850000,849950,848995,860000,871297.5,875000,868997.5,849000,840000,877000,850000,875000,879000,871815,868997.5,849000,849000,829995,839000,799000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,499999,510000,499000,487000,494700,490000,480000,475000,450000,425000,436897,429900,437413.5,437750,445990,429900,437500,437450,435000,425000,4e+05,409950,4e+05,449000,434900,439950,449000,458000,449999,469500,449500,415000,432583,399900,432266,430000,435483,449990,475000,462990,462990,487500,499000,475000,475000,488990,482990,489990,514500,559000,557000,599900,599949.5,579000,579000,603033.5,599900,659000,699000,655000,699931,720000,695000,678000,672500,639000,650000,646879,637525,648734,685945,678495,699264.5,777000,699414.5,744500,699000,659250,650000,631900,629500,618945,599000,579495,598886,608990,647450,667900,681990,649900,635170,599000,615000,627400,649000,624445,599000,599450,610000,605990,6e+05,628093,615000,595000,595000,6e+05,598900,582450
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,314000,319900,319353.5,319000,325000,339777,334863.5,330000,324900,328450,333950,325115,319300,317500,315000,320246.5,324900,317750,332950.5,335000,329418.5,324498.5,320275.5,315000,324796.5,314000,317701.5,319950,319925,327958.5,323200,315000,329450,330678,339000,329999,339450,349450,354900,360300,362757.5,365521.5,368750,359990,363573.5,359800,359900,361144,359900,369990,355000,369900,369990,362995,365000,374999.5,375000,370150,365000,370050,364950,364900,364900,365350,354950,355990,360911,349995,343900,340495,348490,335000,349995,359945,374000,374990,384500,375250,379000,375695,379000,374990,369945,370000,366450,365000,369900,374500,384800,379900,390495,379825,384500,369999,355135,353200,349900,346706,348900,342900,348000,347000,349700,340000,347450,343000,345900,335000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280784,299900,290000,299000,299900,289000,289000,279450,249900,274900,295000,299950,3e+05,299900,275000,260000,279000,264800,274950,275000,270000,269900,279990,295000,315000,299699.5,290950,289450,278000,277000,285500,265000,272500,3e+05,3e+05,324900,324950,302000,307450,319900,339000,349900,350000,350000,349950,349900,350000,366000,399950,399900,374949.5,359949.5,354450,362900,330000,329900,332500,349500,385900,399000,414900,425000,459000,424900,425000,463750,422400,437400
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,359450,352900,340000,339900,313900,299999,299900,285000,289900,289900,289900,275000,275000,274825,267000,255000,252100,255000,254900,255000,256137,255000,255000,254900,254900,256500,255000,264900,276353,282075,275000,275000,270000,278250,285000,290500,299000,299000,299000,3e+05,3e+05,309990,328640,340000,340000,350000,360000,359900,350400,350000,359995,369000,373345,375000,374900,375000,375000,376432.5,379900,380000,369999.5,379975,389925,389500,399000,395000,399999.5,399999,399999,399000,399000,399900,399000,399900,399999,399900,402500,419450,419000,424900,425000,425000,429250,433000,439000,433000,429900,439900,449894,449900,465000,469900,475000,479499.5,486900,499000,5e+05,524999,5e+05,509990,525000,524900,515000,530000,519000,499999,510499.5,508750
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,1099900,1083950,999950,1050000,1020950,977000,975000,985000,929000,921000,921000,922999,899000,890422.5,896175,899000,896175,899000,872438,849888,799995,794000,791500,789000,802250.5,815388,850000,854500,915000,899995,899500,929995,929995,944000,975000,972900,1054950,1100000,1199499.5,1229000,1249500,1247000,1280935,1289000,1310960,1292800,1259000,1275400,1260990,1299000,1295000,1325000,1299050,1289995,1250000,1299900,1299000,1312497.5,1299500,1248900,1294262.5,1379900,1445000,1449944,1498000,1377000,1417495,1424500,1394000,1474900,1482900,1499000,1450000,1487500,1495000,1450000,1399000,1422500,1399000,1375000,1384000,1349000,1379999,1485000,1450000,1410000,1449900,1485000,1449900,1498000,1495000,1499000,1520000,1575000,1515000,1543162,1570000,1572500,1595000,1575000,1695000,1695000,1550000,1714500,1795000,1699499.5,1699000,1750000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010000,995000,935000,965480,965480,899900,962000,977000,999900,925000,921000,921000,915000,922000,1024975,925000,917500,962000,949000,899000,899000,897000,925000,932450,925000,849000,899000,999000,1075000,1109500,1175000,1195000,1175000,1160000,1112500,1098444,1112500,1099000,1170999,1225000,1299000,1370000,1299000,1395000,1350000,1375000,1395000,1399500,1396000,1362500,1339000,1380000,1392000,1395000,1399000,1350000,1350000,1385000,1349000,1299000,1286500
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",9,850000,785900,875000,868000,849950,849000,849000,889950,889500,837000,845000,799995,799888,819000,799999,837000,865000,899000,865000,819000,799000,790400,749444,699286,749444,799900,799900,799950,858200,866400,899500,875000,868975,8e+05,836500,828888,848500,899000,899000,947950,9e+05,9e+05,978000,9e+05,899000,924000,990000,922500,947500,960000,1098000,1053500,1083500,1165000,1199000,1144500,1095500,1049000,999444,1083944,1059444,1183900,1198900,1264944,1199000,1162700,1165000,1198898,1198949,1138000,1144000,1099444,1099000,1227000,1250000,1348000,1358888,1349000,1449000,1449000,1385000,1349000,1331500,1325000,1275000,1299000,1396500,1398000,1485000,1391944,1365000,1425000,1396500,1388000,1344499.5,1350000,1425000,1498975,1536500,1497777,1475000,1385000,1397500,1398000,1370000,1344499.5,1399889.5,1381500
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728687,765000,765000,809450,725000,699000,752000,760500,754500,705245,645000,659900,610567.5,606745,612045,634990,739000,798999.5,744450,798999,735000,744500,694990,678445
