"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"10023","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000,1200000,1225000,1237500,1225000,1395000,1247500,1272500,1200000,1350000,1350000,1447000,1485000,1392500,1397000,1399000,1295000,1227500,1267500,1390000,1237500,1212500,1350000,1390000,1237500,1199000,1200000,1250000
"10002","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365000,1375000,1384000,1390000,1402000,1384500,1395000,1417500,1412000,1412000,1400000,1409000,1395000,1405500,1415000,1405500
"11375","New York","NY","New York-Newark-Jersey City","Queens County",3,238944,230000,229000,228000,229000,227000,219000,220944,219000,215000,219000,218444,219000,215000,219000,209000,209000,209500,209000,209000,216000,215000,209000,205000,207000,209000,209000,210000,210000,215000,218000,219000,215000,210000,209950,209000,209000,209000,209000,210500,209000,219000,220000,219500,219000,218000,219000,212500,214000,219388.5,219000,219777,229000,229000,225000,229000,233800,235000,235000,239000,249000,259000,272000,268000,250000,259000,252000,250000,258944,259000,275000,269000,276500,279999.5,262499.5,269000,269000,277000,279000,279900,281950,279000,279000,289000,289000,289000,292444,298000,298444,299000,299000,295000,289000,299000,299999,299000,315000,319000,319000,339000,339000,398500,389000,377000,399000,377000,415000,424000
"20002","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399999,399999,399900,404499.5,414450,404949.5,419900,414450,422400,414900,399999,399000,424950,389900,389900,389900,414900
"20009","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",5,359500,357250,366950,349900,339000,339000,339000,334250,339900,349000,349900,359000,369900,342450,345000,338250,339000,339000,337777.5,339900,339000,339450,349000,349250,349250,332400,339250,349250,356000,359000,357000,339900,340000,340000,339950,329450,329900,348000,339700,364000,364000,365450,369000,359900,350000,349500,359000,349900,359000,362450,349500,345000,349000,349500,349500,349900,375000,354500,349900,349900,349000,345000,377000,385000,399500,399900,379000,399000,399500,399250,399000,395000,397000,410000,399000,398000,374999.5,382400,399000,399555,375000,374999,374999.5,375000,359999,365000,389000,399000,375117,399000,398500,399900,399495,399900,399900,395000,395000,399825,415000,421950,419000,419000,419450,399900,391840,389900,399000,399555
"10003","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172000,1172000,1161000,1125000,1087000,1087000,1100000,1100000,1050000,1050000,1167500,1192500,1194500,1262500,1400000,1282500,1347500,1260000,1195000,1168500,1362500,1410000,1375000,1350000,1390000,1475000,1481944,1532500,1565000,1540000,1525000,1520000,1495000,1525000,1570000,1540000
"07030","Hoboken","NJ","New York-Newark-Jersey City","Hudson County",7,365000,363450,364950,364950,359900,359000,364950,364475,369000,369000,369000,369000,369534,369000,369000,347000,349000,349950,349000,359000,357000,349450,334500,332000,339000,339000,334000,340000,349000,339999,349000,344499.5,325000,325000,338000,350000,377450,385000,395000,395000,389000,389000,388000,388500,379000,379000,379000,375000,388500,380000,395000,399000,389000,379000,389000,399999.5,415000,425000,435000,433500,433500,433500,433500,439000,435000,430000,419500,435000,449000,469000,475000,475000,476750,499950,459000,460000,459000,459000,429500,425000,467000,499000,540000,537500,475000,510000,519950,549450,525000,522450,499000,494000,489000,525000,499000,499000,499000,499000,513354,517000,539000,538000,547000,539000,550000,549497.5,550000,548900
"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",8,149900,150000,149000,145208,148900,140000,139900,130475,134000,130000,140000,135000,137950,140000,149000,149000,159950,164950,159000,168500,165000,152000,150000,159750,163625,176000,169900,174410,185000,185000,186900,174900,169900,144700,157950,185000,189000,188630,190000,189450,179900,186500,197950,190000,190000,195000,2e+05,2e+05,216950,213900,223000,230000,239000,240000,233300,230000,228900,234900,245000,239000,243900,239000,220000,218500,230000,235000,218500,224200,225000,205000,225500,228900,230000,229000,229000,229450,229950,229900,239825,239375,229900,235000,233400,235000,237000,240000,239900,239000,235000,231000,243000,234900,235000,239000,239000,239000,248000,239000,235000,240000,240000,238400,239900,245000,241500,248250,249000,243000
"33139","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",9,249000,249000,235000,225027,230000,229000,229000,229999,230000,230000,235000,225000,229000,239000,239000,238500,244000,249000,249000,259000,263750,267000,270000,274000,264000,260000,270000,266000,269000,260000,254500,250000,269000,250000,245000,260000,283450,280000,275000,274949.5,269000,265000,280000,280000,280000,285000,280000,299000,299000,299250,289000,279900,295000,289000,289000,289000,295000,295000,3e+05,320000,325000,315000,299999.5,307500,314950,299000,305000,315000,309999,310000,330000,335000,330000,324900,325000,329000,329000,330000,330000,329000,327540,328000,325000,330000,328499.5,319500,319000,315000,310550,315000,309499.5,3e+05,309000,299500,299000,298500,290000,290000,294900,289000,289000,289000,288000,285000,285000,287500,290000,290000
"11211","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,815000,799000,857500,870000,875000,870000,862900,877500,877500,837000,865000,860000,855000,850000,850000,829000,829000,807499.5,822000,799000,815000,849000,855000,850000,850000,850000,799999,849000,850000,872500,870000,879000,875000,870000,860000,799000,797500,795025,745000,779000,780000,795025,799000
